"","intercambio","genero","uni","conocimiento_intercambio","prendas_entrada","prendas_salida","puntos_entrada","puntos_salida","hora_inscripcion","destacable_evento","repetidor","puntos_extra","puntos_antes","hora_entrada","fiel_intercambio","entrada_prenda_1","entrada_prenda_2","entrada_prenda_3","entrada_prenda_4","entrada_prenda_5","hora_salida","salida_prenda_1","salida_prenda_2","salida_prenda_3","salida_prenda_4","salida_prenda_5","salida_prenda_6","salida_prenda_7","salida_prenda_8","salida_prenda_9"
"878","2025_4","Hombre","UC3M","Amigo organizador",5,4,18,4,2025-04-02 10:38:05,NA,"Primera vez",NA,0,"12:39:05","Primer intercambio","Sudadera","Jersey","Camiseta/Polo/Top","Chaqueta","Camiseta/Polo/Top","2/04/2025 13:02:22","Jersey","Abrigo","Jersey","","","","","",""
"879","2025_4","Mujer","UC3M",NA,5,10,26,0,2025-04-02 10:39:38,NA,"Varias veces",NA,0,"12:40:34","Primer intercambio","Chaqueta","Chaqueta","Chaqueta","Jersey","Jersey","2/04/2025 13:23:51","Vestido","Vestido","Camiseta/Polo/Top","Falda","Camiseta/Polo/Top","Camiseta/Polo/Top","Pantalón","Jersey","Camiseta/Polo/Top"
"880","2025_4","Mujer","UC3M","Amigos",0,2,2,0,2025-04-02 10:40:57,NA,"Primera vez",2,0,"","Primer intercambio","","","","","","2/04/2025 12:49:11","Camiseta/Polo/Top","","","","","","","",""
"881","2025_4","Mujer","UC3M",NA,NA,2,NA,6,2025-04-02 10:42:13,NA,"Varias veces",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2/04/2025 12:54:24","Jersey","","","","","","","",""
"882","2025_4","Hombre","UC3M",NA,0,2,2,0,2025-04-02 10:42:41,NA,"Segunda vez",2,0,"","Primer intercambio","","","","","","2/04/2025 12:53:53","Camiseta/Polo/Top","","","","","","","",""
"883","2025_4","Mujer","UC3M",NA,0,2,2,0,2025-04-02 10:43:52,NA,"Segunda vez",2,0,"","Primer intercambio","","","","","","2/04/2025 12:53:06","Camiseta/Polo/Top","","","","","","","",""
"884","2025_4","Hombre","UC3M","Comunicación UC3M",5,0,16,16,2025-04-02 10:46:21,NA,"Primera vez",2,0,"15:53:11","Primer intercambio","Pantalón","Pantalón","Pantalón","Pantalón","Camiseta/Polo/Top","","","","","","","","","",""
"885","2025_4","Mujer","UC3M",NA,5,2,26,22,2025-04-02 10:52:35,NA,"Varias veces",NA,7,"12:59:30","Segundo intercambio","Pantalón","Chaqueta","Camiseta/Polo/Top","Jersey","Sudadera","2/04/2025 16:41:37","Jersey","","","","","","","",""
"886","2025_4","Mujer","UCM","Amigos",5,5,17,5,2025-04-02 10:54:23,NA,"Primera vez",2,0,"12:55:02","Primer intercambio","Pantalón","Jersey","Vestido","Camiseta/Polo/Top","Camiseta/Polo/Top","2/04/2025 14:16:50","Falda","Camiseta/Polo/Top","Pantalón","Jersey","","","","",""
"887","2025_4","Mujer","UC3M",NA,5,6,15,1,2025-04-02 11:01:37,NA,"Varias veces",NA,0,"13:02:20","Primer intercambio","Pantalón","Camiseta/Polo/Top","Vestido","Camiseta/Polo/Top","Vestido","2/04/2025 13:19:43","Jersey","Sudadera","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","","","",""
"888","2025_4","Mujer","UC3M","Amigo organizador",5,4,12,4,2025-04-02 11:02:29,NA,"Primera vez",NA,0,"13:03:06","Primer intercambio","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","Falda","Falda","2/04/2025 13:22:16","Camiseta/Polo/Top","Camiseta/Polo/Top","Vestido","","","","","",""
"889","2025_4","Mujer","UC3M",NA,4,4,9,1,2025-04-02 11:03:23,NA,"Varias veces",NA,0,"13:04:19","Primer intercambio","Camiseta/Polo/Top","Pantalón","Camiseta/Polo/Top","Camiseta/Polo/Top","","2/04/2025 13:22:56","Camiseta/Polo/Top","Camiseta/Polo/Top","Vestido","","","","","",""
"890","2025_4","Mujer","UC3M",NA,0,5,15,7,2025-04-02 11:03:25,NA,"Segunda vez",NA,15,"","Segundo intercambio","","","","","","2/04/2025 13:04:42","Pantalón","Complementos","Bolso","Camiseta/Polo/Top","","","","",""
"891","2025_4","Mujer","UC3M",NA,0,3,7,3,2025-04-02 11:06:37,NA,"Segunda vez",NA,7,"","Segundo intercambio","","","","","","2/04/2025 13:08:04","Falda","Complementos","","","","","","",""
"892","2025_4","Mujer","UC3M",NA,5,6,20,4,2025-04-02 11:11:35,NA,"Varias veces",2,6,"13:12:20","Tercer intercambio","Camiseta/Polo/Top","Vestido","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","2/04/2025 13:57:09","Jersey","Jersey","Camiseta/Polo/Top","Camiseta/Polo/Top","Vestido","","","",""
"893","2025_4","Mujer","UC3M",NA,4,6,14,0,2025-04-02 11:14:14,NA,"Segunda vez",NA,0,"13:15:05","Primer intercambio","Chaqueta","Vestido","Camiseta/Polo/Top","Camiseta/Polo/Top","","2/04/2025 13:47:41","Camiseta/Polo/Top","Camiseta/Polo/Top","Vestido","Falda","Pantalón","","","",""
"894","2025_4","Mujer","UC3M","Comunicación UC3M",4,4,11,1,2025-04-02 11:14:42,NA,"Primera vez",NA,0,"13:15:18","Primer intercambio","Pantalón","Camiseta/Polo/Top","Camiseta/Polo/Top","Jersey","","2/04/2025 13:46:42","Jersey","Falda","Pantalón","","","","","",""
"895","2025_4","No binarie","UC3M",NA,5,6,20,8,2025-04-02 11:31:27,NA,"Varias veces",NA,5,"13:31:53","Tercer intercambio","Vestido","Camiseta/Polo/Top","Camiseta/Polo/Top","Jersey","Pantalón","2/04/2025 16:48:00","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","Jersey","","","",""
"896","2025_4","Mujer","UC3M",NA,5,3,20,13,2025-04-02 11:31:31,NA,"Varias veces",NA,8,"13:33:18","Segundo intercambio","Pantalón","Camiseta/Polo/Top","Camiseta/Polo/Top","Pantalón","Camiseta/Polo/Top","2/04/2025 16:42:52","Jersey","Pantalón","","","","","","",""
"897","2025_4","Mujer","UC3M",NA,5,4,13,1,2025-04-02 11:35:32,NA,"Varias veces",NA,0,"13:35:53","Segundo intercambio","Jersey","Pantalón","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","2/04/2025 13:48:49","Sudadera","Sudadera","Jersey","","","","","",""
"898","2025_4","Hombre","UC3M","Amigos",5,0,19,19,2025-04-02 11:37:44,NA,"Primera vez",2,0,"13:38:16","Primer intercambio","Sudadera","Sudadera","Pantalón","Pantalón","Pantalón","","","","","","","","","",""
"899","2025_4","No binarie","UC3M","Comunicación UC3M",4,3,15,11,2025-04-02 11:39:34,NA,"Primera vez",NA,0,"13:40:01","Primer intercambio","Chaqueta","Jersey","Pantalón","Camiseta/Polo/Top","","2/04/2025 14:14:49","Camiseta/Polo/Top","Camiseta/Polo/Top","","","","","","",""
"900","2025_4","Mujer","UC3M",NA,4,0,24,24,2025-04-02 11:40:23,NA,"Varias veces",2,8,"13:40:50","Segundo intercambio","Camiseta/Polo/Top","Sudadera","Chaqueta","Camiseta/Polo/Top","","","","","","","","","","",""
"901","2025_4","Mujer","UC3M","Comunicación UC3M",1,3,4,0,2025-04-02 11:42:03,NA,"Primera vez",NA,0,"13:48:25","Primer intercambio","Jersey","","","","","2/04/2025 14:12:44","Camiseta/Polo/Top","Camiseta/Polo/Top","","","","","","",""
"902","2025_4","Mujer","UC3M",NA,3,5,14,0,2025-04-02 11:46:30,NA,"Varias veces",2,0,"13:47:16","Primer intercambio","Jersey","Vestido","Sudadera","","","2/04/2025 14:00:00","Chaqueta","Sudadera","Camiseta/Polo/Top","Camiseta/Polo/Top","","","","",""
"903","2025_4","Mujer","UC3M",NA,5,0,25,25,2025-04-02 12:03:46,NA,"Segunda vez",11,0,"14:04:03","Segundo intercambio","Jersey","Jersey","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","","","","","","","","","",""
"904","2025_4","Mujer","UC3M",NA,0,4,0,-8,2025-04-02 12:04:09,NA,"Varias veces",NA,0,"","Primer intercambio","","","","","","2/04/2025 14:26:26","Camiseta/Polo/Top","Camiseta/Polo/Top","Vestido","","","","","",""
"905","2025_4","Mujer","UC3M",NA,0,2,3,1,2025-04-02 12:04:33,NA,"Varias veces",NA,3,"","Tercer intercambio","","","","","","2/04/2025 14:26:53","Camiseta/Polo/Top","","","","","","","",""
"906","2025_4","Mujer","UC3M",NA,5,0,12,12,2025-04-02 12:06:37,NA,"Segunda vez",NA,0,"14:07:23","Primer intercambio","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","Sudadera","","","","","","","","","",""
"907","2025_4","Mujer","UC3M",NA,4,0,9,9,2025-04-02 12:06:56,NA,"Segunda vez",NA,0,"14:08:46","Primer intercambio","Falda","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","","","","","","","","","","",""
"908","2025_4","Mujer","UC3M",NA,5,0,24,24,2025-04-02 12:10:38,NA,"Varias veces",NA,0,"14:11:16","Tercer intercambio","Abrigo","Chaqueta","Vestido","Vestido","Vestido","","","","","","","","","",""
"909","2025_4","Mujer","UC3M","Amigos",5,6,15,2,2025-04-02 12:19:20,NA,"Primera vez",NA,0,"14:21:09","Primer intercambio","Pantalón","Pantalón","Pantalón","Pantalón","Pantalón","2/04/2025 15:07:00","Camiseta/Polo/Top","Camiseta/Polo/Top","Falda","Pantalón","Pantalón","","","",""
"910","2025_4","Mujer","URJC","Amigo organizador",0,0,0,0,2025-04-02 12:20:14,NA,"Primera vez",NA,0,"","Primer intercambio","","","","","","","","","","","","","","",""
"911","2025_4","Mujer","UC3M",NA,5,5,13,-1,2025-04-02 12:24:50,NA,"Varias veces",NA,0,"14:25:33","Segundo intercambio","Camiseta/Polo/Top","Vestido","Bolso","Pantalón","Camiseta/Polo/Top","2/04/2025 14:32:31","Vestido","Jersey","Jersey","Camiseta/Polo/Top","","","","",""
"912","2025_4","Mujer","UC3M","Amigo organizador",0,2,2,0,2025-04-02 12:27:41,NA,"Primera vez",2,0,"","Primer intercambio","","","","","","2/04/2025 14:34:22","Camiseta/Polo/Top","","","","","","","",""
"913","2025_4","Mujer","UC3M",NA,5,7,16,0,2025-04-02 12:31:36,NA,"Varias veces",NA,0,"14:32:47","Primer intercambio","Pantalón","Pantalón","Pantalón","Falda","Vestido","2/04/2025 14:56:17","Jersey","Falda","Camiseta/Polo/Top","Camiseta/Polo/Top","Pantalón","Camiseta/Polo/Top","","",""
"914","2025_4","Mujer","UC3M","Amigos",0,0,0,0,2025-04-02 12:32:27,NA,"Primera vez",NA,0,"","Primer intercambio","","","","","","","","","","","","","","",""
"915","2025_4","Hombre","UC3M","Amigos",3,2,6,2,2025-04-02 12:39:24,NA,"Primera vez",NA,0,"14:39:46","Primer intercambio","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","","","2/04/2025 14:55:07","Sudadera","","","","","","","",""
"916","2025_4","Hombre","UC3M","Amigo organizador",0,2,2,0,2025-04-02 12:41:36,NA,"Primera vez",2,0,"14:42:34","Primer intercambio","","","","","","2/04/2025 14:42:42","Camiseta/Polo/Top","","","","","","","",""
"917","2025_4","Hombre","UC3M","Amigo organizador",5,4,18,11,2025-04-02 12:41:50,NA,"Primera vez",NA,0,"14:44:56","Primer intercambio","Jersey","Jersey","Pantalón","Jersey","Pantalón","2/04/2025 15:23:54","Pantalón","Pantalón","Complementos","","","","","",""
"918","2025_4","Mujer","UC3M",NA,3,3,6,0,2025-04-02 12:43:25,NA,"Segunda vez",NA,0,"14:43:55","Primer intercambio","Bolso","Camiseta/Polo/Top","Camiseta/Polo/Top","","","2/04/2025 14:53:35","Camiseta/Polo/Top","Jersey","","","","","","",""
"919","2025_4","Mujer","UC3M",NA,4,7,22,1,2025-04-02 13:04:09,NA,"Varias veces",NA,8,"15:04:25","Segundo intercambio","Camiseta/Polo/Top","Jersey","Jersey","Vestido","","2/04/2025 15:15:56","Sudadera","Sudadera","Camiseta/Polo/Top","Falda","Chaqueta","Camiseta/Polo/Top","","",""
"920","2025_4","No binarie","UC3M",NA,5,5,17,7,2025-04-02 13:04:49,NA,"Varias veces",NA,0,"15:05:39","Tercer intercambio","Pantalón","Camiseta/Polo/Top","Jersey","Sudadera","Vestido","2/04/2025 15:27:20","Camiseta/Polo/Top","Camiseta/Polo/Top","Pantalón","Pantalón","","","","",""
"921","2025_4","Hombre","UC3M",NA,1,2,4,2,2025-04-02 13:05:22,NA,"Varias veces",NA,0,"15:06:47","Primer intercambio","Sudadera","","","","","2/04/2025 16:12:24","Camiseta/Polo/Top","","","","","","","",""
"922","2025_4","Hombre","UC3M","Comunicación UC3M",2,5,4,-9,2025-04-02 13:20:32,NA,"Primera vez",NA,0,"15:20:49","Primer intercambio","Camiseta/Polo/Top","Camiseta/Polo/Top","","","","2/04/2025 16:41:19","Jersey","Camiseta/Polo/Top","Jersey","Pantalón","","","","",""
"923","2025_4","Mujer","UC3M",NA,3,0,14,14,2025-04-02 13:39:35,NA,"Varias veces",NA,5,"15:40:24","Segundo intercambio","Camiseta/Polo/Top","Pantalón","Jersey","","","","","","","","","","","",""
"924","2025_4","Hombre","UC3M",NA,0,2,4,-2,2025-04-02 13:42:36,NA,"Varias veces",NA,4,"","Tercer intercambio","","","","","","2/04/2025 15:43:34","Chaqueta","","","","","","","",""
"925","2025_4","Mujer","UC3M",NA,5,6,18,4,2025-04-02 13:50:00,NA,"Varias veces",NA,2,"15:51:40","Segundo intercambio","Pantalón","Jersey","Pantalón","Pantalón","Pantalón","2/04/2025 16:38:31","Falda","Vestido","Camiseta/Polo/Top","Pantalón","Camiseta/Polo/Top","","","",""
"926","2025_4","Mujer","UC3M",NA,0,0,11,11,2025-04-02 13:51:36,NA,"Segunda vez",NA,11,"","Primer intercambio","","","","","","","","","","","","","","",""
"927","2025_4","Mujer","UC3M",NA,0,2,2,1,2025-04-02 13:53:05,NA,"Segunda vez",NA,2,"","Segundo intercambio","","","","","","2/04/2025 16:16:00","Complementos","","","","","","","",""
"928","2025_4","Mujer","UC3M",NA,3,NA,16,NA,2025-04-02 14:08:25,NA,"Varias veces",NA,0,"16:11:40","Primer intercambio","Chaqueta","Jersey","Chaqueta","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"929","2025_4","Mujer","URJC",NA,5,2,18,16,2025-04-02 14:09:15,NA,"Segunda vez",2,0,"16:10:39","Primer intercambio","Pantalón","Pantalón","Jersey","Vestido","Camiseta/Polo/Top","2/04/2025 16:53:17","Camiseta/Polo/Top","","","","","","","",""
"930","2025_4","Mujer","UC3M",NA,5,7,16,3,2025-04-02 14:10:22,NA,"Varias veces",NA,0,"16:43:49","Primer intercambio","Falda","Camiseta/Polo/Top","Jersey","Jersey","Pantalón","2/04/2025 16:44:44","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","Pantalón","","",""
"931","2025_4","Mujer","UC3M",NA,2,3,8,2,2025-04-02 14:12:32,NA,"Varias veces",2,0,"16:39:48","Primer intercambio","Jersey","Camiseta/Polo/Top","","","","2/04/2025 16:39:57","Jersey","Camiseta/Polo/Top","","","","","","",""
"932","2025_4","Mujer","UC3M","Comunicación UC3M",NA,NA,NA,NA,2025-04-02 14:14:09,NA,"Primera vez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"933","2025_4","Mujer","UC3M",NA,NA,NA,NA,NA,2025-04-02 14:14:53,NA,"Segunda vez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"934","2025_4","Mujer","UC3M",NA,4,3,11,7,2025-04-02 14:17:58,NA,"Varias veces",NA,0,"","Primer intercambio","Pantalón","Camiseta/Polo/Top","Camiseta/Polo/Top","Jersey","","2/04/2025 16:40:23","Camiseta/Polo/Top","Camiseta/Polo/Top","","","","","","",""
"935","2025_4","Mujer","UC3M",NA,0,4,0,-9,2025-04-02 14:18:14,NA,"Varias veces",NA,0,"","Primer intercambio","","","","","","2/04/2025 16:36:11","Camiseta/Polo/Top","Pantalón","Sudadera","","","","","",""
"936","2025_4","Mujer","UC3M",NA,3,0,7,7,2025-04-02 14:18:52,NA,"Segunda vez",NA,0,"16:20:10","Primer intercambio","Camiseta/Polo/Top","Camiseta/Polo/Top","Pantalón","","","","","","","","","","","",""
"937","2025_4","Mujer","UC3M","Amigo organizador",3,4,9,0,2025-04-02 14:19:27,NA,"Primera vez",NA,0,"16:22:07","Primer intercambio","Vestido","Pantalón","Camiseta/Polo/Top","","","2/04/2025 16:36:57","Vestido","Camiseta/Polo/Top","Pantalón","","","","","",""
"938","2025_4","Mujer","UC3M","Comunicación UC3M",5,4,15,2,2025-04-02 14:25:26,NA,"Primera vez",NA,0,"16:26:46","Primer intercambio","Jersey","Pantalón","Pantalón","Pantalón","Camiseta/Polo/Top","2/04/2025 17:01:11","Vestido","Falda","Abrigo","","","","","",""
"939","2025_4","Mujer","UC3M",NA,0,6,19,6,2025-04-02 14:33:14,NA,"Segunda vez",NA,19,"16:36:26","Segundo intercambio","","","","","","2/04/2025 16:36:36","Camiseta/Polo/Top","Pantalón","Pantalón","Pantalón","Camiseta/Polo/Top","","","",""
"940","2025_4","Mujer","UC3M",NA,2,4,17,10,2025-04-02 14:43:10,NA,"Varias veces",12,0,"16:43:22","Primer intercambio","Camiseta/Polo/Top","Pantalón","","","","2/04/2025 17:40:10","Camiseta/Polo/Top","Camiseta/Polo/Top","Pantalón","","","","","",""
"941","2025_4","Hombre","UEM","Amigo organizador",0,2,2,-2,2025-04-02 14:45:10,NA,"Primera vez",2,0,"","Primer intercambio","","","","","","2/04/2025 16:45:34","Jersey","","","","","","","",""
"942","2025_4","Mujer","UC3M","Amigo organizador",0,0,0,0,2025-04-02 15:56:19,NA,"Primera vez",NA,0,"","Primer intercambio","","","","","","","","","","","","","","",""
"943","2025_4","Mujer","UC3M","Amigos",0,3,0,-4,2025-04-02 16:09:25,NA,"Primera vez",NA,0,"","Primer intercambio","","","","","","2/04/2025 18:09:41","Camiseta/Polo/Top","Camiseta/Polo/Top","","","","","","",""
