"","intercambio","genero","uni","conocimiento_intercambio","prendas_entrada","prendas_salida","puntos_entrada","puntos_salida","hora_inscripcion","destacable_evento","repetidor","puntos_extra","puntos_antes","hora_entrada","fiel_intercambio","entrada_prenda_1","entrada_prenda_2","entrada_prenda_3","entrada_prenda_4","entrada_prenda_5","hora_salida","salida_prenda_1","salida_prenda_2","salida_prenda_3","salida_prenda_4","salida_prenda_5","salida_prenda_6","salida_prenda_7","salida_prenda_8","salida_prenda_9"
"808","2025_4","Mujer","No soy de la universidad...","Amigos",5,5,14,0,2025-03-30 18:36:36,NA,"Primera vez",2,0,"15:59:37","Primer intercambio","Camiseta/Polo/Top","Camiseta/Polo/Top","Camiseta/Polo/Top","Jersey","Camiseta/Polo/Top","2/04/2025 16:24:27","Pantalón","Vestido","Falda","","Sudadera","","","",""
"809","2025_4","Mujer","UC3M",NA,0,NA,19,NA,2025-03-31 07:49:08,NA,"Varias veces",NA,19,"","CUARTO INTERCAMBIO","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"810","2025_4","Mujer","UC3M",NA,5,7,11,-7,2025-03-31 08:18:21,NA,"Varias veces",NA,-9,"14:12:14","CUARTO INTERCAMBIO","Vestido","Vestido","Vestido","Vestido","Sudadera","2/04/2025 14:57:50","Camiseta/Polo/Top","Camiseta/Polo/Top","Pantalón","Vestido","Pantalón","Vestido","","",""
"811","2025_4","Hombre","No soy de la universidad...",NA,0,0,0,0,2025-03-31 13:07:20,NA,"Segunda vez",NA,0,"","Primer intercambio","","","","","","","","","","","","","","",""
"812","2025_4","No binarie","No soy de la universidad...",NA,5,0,16,16,2025-03-31 13:40:18,NA,"Varias veces",NA,0,"11:58:21","Segundo intercambio","Pantalón","Jersey","Pantalón","Pantalón","Falda","","","","","","","","","",""
"813","2025_4","Mujer","UEM","Amigo organizador",5,3,21,17,2025-03-31 13:41:21,NA,"Primera vez",NA,0,"15:46:17","Primer intercambio","Pantalón","Sudadera","Sudadera","Sudadera","Chaqueta","2/04/2025 16:03:16","Camiseta/Polo/Top","Camiseta/Polo/Top","","","","","","",""
"814","2025_4","Hombre","UC3M","Comunicación UC3M",0,0,0,0,2025-03-31 13:44:01,NA,"Primera vez",NA,0,"","Primer intercambio","","","","","","","","","","","","","","",""
"815","2025_4","Mujer","UC3M","Material impreso",5,6,14,-1,2025-03-31 14:58:56,NA,"Primera vez",NA,0,"15:33:21","Primer intercambio","Pantalón","Camiseta/Polo/Top","Falda","Pantalón","Pantalón","2/04/2025 16:49:25","Bolso","Jersey","Camiseta/Polo/Top","Pantalón","Jersey","","","",""
"816","2025_4","Mujer","UC3M",NA,2,3,4,-2,2025-03-31 15:26:17,NA,"Varias veces",NA,0,"13:13:46","CUARTO INTERCAMBIO","Camiseta/Polo/Top","Camiseta/Polo/Top","","","","2/04/2025 13:53:49","Sudadera","Camiseta/Polo/Top","","","","","","",""
"817","2025_4","Hombre","UC3M",NA,0,0,0,0,2025-03-31 15:36:41,NA,"Varias veces",NA,0,"","Primer intercambio","","","","","","","","","","","","","","",""
"818","2025_4","Hombre","UC3M",NA,4,3,14,9,2025-03-31 15:38:54,NA,"Varias veces",NA,0,"14:13:52","Tercer intercambio","Jersey","Jersey","Pantalón","Pantalón","","2/04/2025 14:59:54","Pantalón","Camiseta/Polo/Top","","","","","","",""
"819","2025_4","Mujer","UC3M",NA,1,7,3,-19,2025-03-31 16:30:11,NA,"Varias veces",NA,0,"16:17:33","Tercer intercambio","Pantalón","","","","","2/04/2025 15:00:28","Vestido","Vestido","Pantalón","Jersey","Sudadera","Pantalón","","",""
"820","2025_4","Hombre","UC3M",NA,1,2,6,4,2025-03-31 17:01:49,NA,"Varias veces",NA,0,"11:47:19","Segundo intercambio","Chaqueta","","","","","2/04/2025 11:51:18","Camiseta/Polo/Top","","","","","","","",""
"821","2025_4","Hombre","UC3M",NA,3,2,31,27,2025-03-31 17:03:43,NA,"Varias veces",NA,19,"16:37:34","Tercer intercambio","Jersey","Sudadera","Sudadera","","","2/04/2025 17:50:17","Jersey","","","","","","","",""
